"id","vesselid","app_version_used","type","reportversion","etb","lat","lon","main_engines_steamtime_hours","propellers_avr_rpm","propellers_ttl_rev","event_id","leg_type","cargo_dwt","draft_aft","eta_pilot","rta_pilot","timestamp","tzoffset","voyage_id","draft_fore","leg_number","passage_id","leg_purpose","master_name","cargo_volume","port_arrival","vessel_status","distance_to_go","general_course","port_departure","cargo_total_mass","cargo_displacement","total_time_in_port","chief_engineer_name","me_cylinder_oil_rob","instruction_type_ops","cargo_operations_done","instruction_value_ops","port_departure_eu_mrv","ae_circulating_oil_rob","instruction_origin_ops","me_circulating_oil_rob","performance_data_status","boiler_total_consumption","aux_engine_total_consumption","aux_engine_shore_power_supply","main_engines_total_consumption","distance_over_ground_since_last_report","duration_since_last","total_time_on_anchorage","isdeleted","main_engines_operating_hours","number_of_empty_containers","number_of_loaded_containers","number_of_reefer_containers","total_number_of_containers_on_board","reefer_containers_energy_consumption","port_arrival_name","port_arrival_unlocode","port_departure_name","port_departure_unlocode","cargo_heating_operating_hours_ab","cargo_heating_operating_hours_ae","cargo_heating_fuel_consumption_ab","cargo_heating_fuel_consumption_ae","tank_cleaning_hours_ab","tank_cleaning_hours_ae","tank_cleaning_fuel_consumption_ab","tank_cleaning_fuel_consumption_ae","cargo_cooling_operating_hours_ae","cargo_cooling_fuel_consumption_ae","wind_speed","wave_height","slip_nominal","swell_height","true_heading","slip_apparent","wind_direction","swell_direction","current_direction","total_time_drifting","vessel_is_operating_in_ice_conditions","distance_through_water_since_last_report","platform","boilers_discharge_pumps_total_fuel_consumption","aux_engines_discharge_pumps_total_avg_power","aux_engines_discharge_pumps_total_operating_hours","voyage_name","voyage_number","voyage_direction","cargo_pax"
"f3670309-93eb-4288-9576-d43e093a7dc8","6169-213","2.5.773","report_position",4,"1900-01-01 00:00:00+00","17.430000","116.765000","24.000","83.100000","0.000000","76fa47b1-70b2-4abc-a836-bfaca7f62917","","19548.000000","7.800000","2023-12-26 18:00:00+00","1900-01-01 00:00:00+00","2023-12-23 04:00:00+00",28800,"0a462b3c-94c0-400d-80ae-d65c8ede7e7c","6.600000",1,"5f51f079-5d91-47bd-8474-0a5fcb8f3354","","","0.000000","","sailing_no_stop","1277.000000","220.000000","","0.000000","38588.000000","0.000","","49290.000000","ttl_fuel","0",0,"0","7226.610000","vesseloperator","32600.000000","sea","0.000000","0.000000","0","0.000000","365.000000","24.000000","0.000000",0,"24.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","3.000","0.800000","34.000000","2.000000","5.381968","4.000000","220.000000","-3.690994","45.000000","45.000000","0.000000","0.000","0","400.000000","desktop","0.000000","0.000000","0.000000","","","",0
"63da55d0-6114-42fc-937c-a623a9ad4457","6169-213","2.5.773","report_position",2,"1900-01-01 00:00:00+00","-20.713719","-11.962572","24.000","83.300000","0.000000","77c11b61-f864-4696-9a18-4e47e80a39f1","","17122.000000","7.900000","2023-10-16 21:00:00+00","1900-01-01 00:00:00+00","2023-09-30 12:00:00+00",0,"2875ef9b-ac96-4cd3-883e-288f09a47c0c","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","5803.000000","301.700000","","0.000000","19040.000000","0.000","","62930.000000","me_fuel","0",0,"0","8717.800000","vesseloperator","35986.800000","sea","0.000000","0.000000","0","0.000000","376.000000","24.000000","0.000000",0,"24.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","24.000","1.750000","15.000000","1.000000","2.764487","1.000000","302.900000","0.178436","0.000000","0.000000","135.000000","0.000","0","386.000000","desktop","0.000000","0.000000","0.000000","","","",0
"817d8231-2f16-47b4-bcf4-edff415ac644","6169-213","2.5.773","report_position",3,"1900-01-01 00:00:00+00","-19.691565","56.538795","24.000","82.500000","0.000000","c1805b25-98da-41cc-9b8d-07d491b2a86c","","17122.000000","7.900000","2023-10-16 21:00:00+00","1900-01-01 00:00:00+00","2023-09-19 08:00:00+00",14400,"f543c485-b7ac-4fc6-a3f9-be79e7b36f57","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","9942.000000","244.200000","","0.000000","19040.000000","0.000","","65120.000000","me_fuel","0",0,"0","8765.300000","vesseloperator","36596.800000","sea","0.000000","0.000000","0","0.000000","380.000000","24.000000","0.000000",0,"24.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","7.000","0.460000","18.000000","2.000000","0.777146","2.000000","242.100000","2.082710","90.000000","90.000000","315.000000","0.000","0","375.000000","desktop","0.000000","0.000000","0.000000","","","",0
"c3332b65-9719-448a-a3d9-2a3decdcff11","6169-213","2.5.773","report_position",4,"1900-01-01 00:00:00+00","29.433333","123.700000","8.900","83.400000","0.000000","5ea2f373-d3a8-4681-b289-cddf210bab06","","16860.000000","7.900000","2023-09-09 07:00:00+00","1900-01-01 00:00:00+00","2023-09-03 04:00:00+00",28800,"6b63ff03-49b4-4778-8a08-4762e1322f30","5.900000",1,"e5aeb413-d4e9-4465-a1d5-4bcdb2422a15","","","0.000000","","sailing_no_stop","2200.000000","167.000000","","0.000000","35900.000000","0.000","","68292.000000","me_fuel","0",0,"0","10044.100000","vesseloperator","37824.800000","sea","0.000000","0.000000","0","0.000000","136.000000","8.900000","0.000000",0,"8.900","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","12.000","1.000000","17.000000","2.000000","5.272481","2.000000","167.000000","2.207768","90.000000","90.000000","45.000000","0.000","0","140.400000","desktop","0.000000","0.000000","0.000000","","","",0
"9581f4f7-7fb5-40ed-b2c8-62c0338710df","6169-213","2.5.773","report_departure",4,"1900-01-01 00:00:00+00","1.167462","103.720020","0.000","0.000000","0.000000","674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","ocean","17122.000000","7.900000","2023-10-16 17:00:00+00","1900-01-01 00:00:00+00","2023-09-10 02:43:00+00",28800,"f6d74b3a-c068-4917-906b-bef04751ef1c","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","ballast","","0.000000","USHOU","port","13335.000000","149.900000","SGSIN","0.000000","19040.000000","234.717","","66990.000000","me_fuel","0",0,"0","10011.200000","vesseloperator","37311.800000","berth","0.000000","0.000000","0","0.000000","0.000000","0.016667","0.000000",0,"0.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","0.000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000","0","0.000000","desktop","0.000000","0.000000","0.000000","Singapore to Houston ","47","w",0
"a865cbd8-5e04-40a5-a097-9a2a26943eed","6169-213","2.5.773","report_position",4,"1900-01-01 00:00:00+00","-18.064690","62.946905","25.000","82.700000","0.000000","57f0282f-9600-4b2f-bf7b-6091131d226b","","17122.000000","7.900000","2023-10-17 00:00:00+00","1900-01-01 00:00:00+00","2023-09-18 08:00:00+00",14400,"6415a699-3be4-4d71-879d-d4c663bc1505","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","10322.000000","268.400000","","0.000000","19040.000000","0.000","","65320.000000","me_fuel","0",0,"0","8769.800000","vesseloperator","36656.800000","sea","0.000000","0.000000","0","0.000000","393.000000","25.000000","0.000000",0,"25.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","3.000","0.300000","22.000000","2.000000","1.725613","2.000000","262.900000","2.975924","90.000000","90.000000","0.000000","0.000","0","388.000000","desktop","0.000000","0.000000","0.000000","","","",0
"d3befea5-281d-4790-88d8-45d7d5944299","6169-213","2.5.773","report_position",3,"1900-01-01 00:00:00+00","-23.432315","51.237483","25.000","81.400000","0.000000","676daeba-8914-4f5f-8fec-ca8659f5c9c3","","17122.000000","7.900000","2023-10-16 21:00:00+00","1900-01-01 00:00:00+00","2023-09-20 09:00:00+00",10800,"6f189726-912f-4b53-b7f6-0a833bbe5d75","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","9567.000000","228.400000","","0.000000","19040.000000","0.000","","64910.000000","me_fuel","0",0,"0","8760.700000","vesseloperator","36536.800000","sea","0.000000","0.000000","0","0.000000","375.000000","25.000000","0.000000",0,"25.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","24.000","1.820000","19.000000","2.000000","4.729123","2.000000","228.300000","2.188566","90.000000","90.000000","0.000000","0.000","0","385.000000","desktop","0.000000","0.000000","0.000000","","","",0
"9e73622d-6992-4d75-adfb-c6978cfaaa6a","6169-213","2.5.773","report_position",3,"1900-01-01 00:00:00+00","-34.349475","26.135829","24.000","82.400000","0.000000","b29b6d36-327c-45a4-afb3-3d55928c1b6d","","17122.000000","7.900000","2023-10-16 21:00:00+00","1900-01-01 00:00:00+00","2023-09-24 11:00:00+00",3600,"60f7f54d-a00a-4b59-b977-ed9751afb513","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","8028.000000","254.300000","","0.000000","19040.000000","0.000","","64100.000000","me_fuel","0",0,"0","8742.200000","vesseloperator","36296.800000","sea","0.000000","0.000000","0","0.000000","391.000000","25.000000","0.000000",0,"24.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","2.000","0.200000","28.000000","4.000000","-2.218997","4.000000","248.000000","-0.127559","135.000000","135.000000","90.000000","0.000","0","383.000000","desktop","0.000000","0.000000","0.000000","","","",0
"6158636b-9da0-42a8-97fa-9a2d657c28ae","6169-213","2.5.773","report_position",2,"1900-01-01 00:00:00+00","-32.759255","12.806040","24.000","83.100000","0.000000","36bf02f6-36a7-46da-8f22-3faab96c1bc0","","17122.000000","7.900000","2023-10-16 21:00:00+00","1900-01-01 00:00:00+00","2023-09-26 11:00:00+00",3600,"59a6003e-7bc5-4495-b752-5bc683b4f737","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","7327.000000","293.400000","","0.000000","19040.000000","0.000","","63740.000000","me_fuel","0",0,"0","8735.800000","vesseloperator","36196.800000","sea","0.000000","0.000000","0","0.000000","353.000000","24.000000","0.000000",0,"24.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","0.000","0.000000","29.000000","3.000000","8.492698","3.000000","288.000000","2.789694","180.000000","180.000000","90.000000","0.000","0","375.000000","desktop","0.000000","0.000000","0.000000","","","",0
"33b2af26-d764-4fc0-93b6-6358ee4a5763","6169-213","2.5.773","report_position",2,"1900-01-01 00:00:00+00","-30.040412","5.905107","25.000","84.400000","0.000000","248666b2-8421-4a0d-bef3-d4e540388265","","17122.000000","7.900000","2023-10-16 21:00:00+00","1900-01-01 00:00:00+00","2023-09-27 12:00:00+00",0,"5f7a993b-8941-49b4-9236-42df65657045","5.200000",1,"674f7385-d907-4ed0-b0a6-3e7a34ef5c5c","","","0.000000","","sailing_no_stop","6932.000000","294.400000","","0.000000","19040.000000","0.000","","63530.000000","me_fuel","0",0,"0","8731.800000","vesseloperator","36136.800000","sea","0.000000","0.000000","0","0.000000","395.000000","25.000000","0.000000",0,"25.000","{}","{}",0,0,"0.000000","","","","","0.000","0.000","0.000000","0.000000","0.000","0.000","0.000000","0.000000","20.000","1.470000","18.000000","2.000000","3.215023","2.000000","294.100000","1.989897","90.000000","90.000000","0.000000","0.000","0","400.000000","desktop","0.000000","0.000000","0.000000","","","",0
