"id","reportid","eqpt_type","mass","type","bunker_lot_id"
16916122,"5ecaf01c-4a9c-4b2d-844e-af222022ce84","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16916123,"5ecaf01c-4a9c-4b2d-844e-af222022ce84","main_engines_total","33.000000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16914342,"94ae86a8-d2ec-45e8-b25f-96ad6e6bf96d","aux_engines_total","7.900000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
18022427,"4989611a-37b4-4c7d-a632-ca55f6e4338b","aux_engines_total","4.100000","hfo","85fe2401-400d-48a4-8081-7bebbd704371"
18022428,"4989611a-37b4-4c7d-a632-ca55f6e4338b","main_engines_total","32.000000","hfo","85fe2401-400d-48a4-8081-7bebbd704371"
16914343,"94ae86a8-d2ec-45e8-b25f-96ad6e6bf96d","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16914344,"94ae86a8-d2ec-45e8-b25f-96ad6e6bf96d","main_engines_total","31.400000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
18045847,"719c24c8-77be-41a8-aec5-a295da1d4c43","aux_engines_total","1.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045814,"909bd0ce-dc67-49a2-87cd-4dd53b9beee6","aux_engines_total","5.600000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045815,"909bd0ce-dc67-49a2-87cd-4dd53b9beee6","main_engines_total","34.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045848,"719c24c8-77be-41a8-aec5-a295da1d4c43","main_engines_total","4.600000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045849,"719c24c8-77be-41a8-aec5-a295da1d4c43","boilers_total","0.110000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18022351,"4bdfa39a-a4eb-46fa-837a-45da0a200919","aux_engines_total","7.000000","hfo","3d5511b8-bbac-408e-b944-d3d84cb1bad8"
18045929,"c22fbf23-c071-48d3-8cb6-65040d30516c","aux_engines_total","3.600000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045930,"c22fbf23-c071-48d3-8cb6-65040d30516c","main_engines_total","22.100000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18022352,"4bdfa39a-a4eb-46fa-837a-45da0a200919","main_engines_total","34.100000","hfo","3d5511b8-bbac-408e-b944-d3d84cb1bad8"
17647814,"a4d40ca5-8f6d-418e-9d50-eeb63f25c52f","aux_engines_total","4.000000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
16914309,"bc5cc13c-ba85-4b49-9178-d26b9b5d402f","aux_engines_total","6.200000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16914310,"bc5cc13c-ba85-4b49-9178-d26b9b5d402f","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16914311,"bc5cc13c-ba85-4b49-9178-d26b9b5d402f","main_engines_total","30.200000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
17647815,"a4d40ca5-8f6d-418e-9d50-eeb63f25c52f","aux_engines_total","0.100000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17647816,"a4d40ca5-8f6d-418e-9d50-eeb63f25c52f","main_engines_total","35.000000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17986058,"badd27b7-2f60-4177-92c7-8de34456b912","aux_engines_total","0.250000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
17648301,"a169b53e-1747-4a36-a9cc-778243fd59d4","aux_engines_total","4.300000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17648302,"a169b53e-1747-4a36-a9cc-778243fd59d4","main_engines_total","33.400000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17986059,"badd27b7-2f60-4177-92c7-8de34456b912","boilers_total","0.100000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
16913959,"00cf6f8a-8789-4389-b6f8-6729002f8035","aux_engines_total","4.100000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16910130,"b0c03ed3-eb31-44d0-83fd-19cf2b2bc8ba","aux_engines_total","2.500000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
16910131,"b0c03ed3-eb31-44d0-83fd-19cf2b2bc8ba","main_engines_total","4.000000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
16910132,"b0c03ed3-eb31-44d0-83fd-19cf2b2bc8ba","boilers_total","0.400000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
16913960,"00cf6f8a-8789-4389-b6f8-6729002f8035","main_engines_total","33.700000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16916444,"7b636c1a-848d-4482-b724-41c1d6031123","aux_engines_total","3.600000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16916445,"7b636c1a-848d-4482-b724-41c1d6031123","main_engines_total","11.400000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16916446,"7b636c1a-848d-4482-b724-41c1d6031123","boilers_total","0.230000","lfo","35ad5fd7-9a47-40fa-b5b2-0d0001f5b6fb"
16913844,"db11f612-26c9-40b5-9388-9b781b4b2965","aux_engines_total","4.000000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16916050,"8d1ed792-1d0e-47a5-a7fb-de90091e0f50","aux_engines_total","5.400000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16916051,"8d1ed792-1d0e-47a5-a7fb-de90091e0f50","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16916052,"8d1ed792-1d0e-47a5-a7fb-de90091e0f50","main_engines_total","31.000000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16913392,"c5a621de-229b-4a6b-baa2-55bc1904a1cd","aux_engines_total","5.000000","hfo","6e8c5400-e6cd-4046-bcbe-a4b2a9b4d18a"
16913393,"c5a621de-229b-4a6b-baa2-55bc1904a1cd","aux_engines_total","0.100000","mgo","fef54ac4-dc6d-4a78-bc9d-a33f0863f1b7"
16913394,"c5a621de-229b-4a6b-baa2-55bc1904a1cd","main_engines_total","31.300000","hfo","6e8c5400-e6cd-4046-bcbe-a4b2a9b4d18a"
16913845,"db11f612-26c9-40b5-9388-9b781b4b2965","aux_engines_total","0.100000","mgo","fef54ac4-dc6d-4a78-bc9d-a33f0863f1b7"
16913846,"db11f612-26c9-40b5-9388-9b781b4b2965","main_engines_total","31.800000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16916718,"2d471e33-fe9d-4613-aa5c-368f79ef2582","aux_engines_total","4.200000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16915096,"82242213-e554-4c13-9603-010bb6f4a557","aux_engines_total","5.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16915097,"82242213-e554-4c13-9603-010bb6f4a557","main_engines_total","23.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16916719,"2d471e33-fe9d-4613-aa5c-368f79ef2582","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16916720,"2d471e33-fe9d-4613-aa5c-368f79ef2582","main_engines_total","34.500000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
18045977,"3fe53ef5-30cf-4368-b3ea-f21bad9bca9b","aux_engines_total","4.000000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
16914083,"b7edb2bf-6a5d-4fce-9468-07a3749a8070","aux_engines_total","4.000000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16914084,"b7edb2bf-6a5d-4fce-9468-07a3749a8070","aux_engines_total","0.100000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16914085,"b7edb2bf-6a5d-4fce-9468-07a3749a8070","main_engines_total","31.700000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
18045978,"3fe53ef5-30cf-4368-b3ea-f21bad9bca9b","boilers_total","2.000000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
18045821,"c2ccfd6e-1a6f-451b-b28d-2116b5137a8e","aux_engines_total","7.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
17986172,"b10bdf73-7d1a-43e0-9c6c-efc91c26850e","aux_engines_total","1.700000","mgo","23f7f805-b0f5-413e-aa1f-90546da9ce2e"
17986173,"b10bdf73-7d1a-43e0-9c6c-efc91c26850e","boilers_total","0.700000","mgo","23f7f805-b0f5-413e-aa1f-90546da9ce2e"
18045822,"c2ccfd6e-1a6f-451b-b28d-2116b5137a8e","main_engines_total","34.200000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
17986109,"3058b8f1-00a9-4974-8573-1b8f78eed595","aux_engines_total","3.800000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
17986110,"3058b8f1-00a9-4974-8573-1b8f78eed595","main_engines_total","31.500000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
18045871,"e785580f-13d8-4a61-8b99-f9f60e69d017","aux_engines_total","4.000000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045869,"da9b4d90-d288-44e0-80cf-0e7a47ba5789","aux_engines_total","3.800000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045870,"da9b4d90-d288-44e0-80cf-0e7a47ba5789","main_engines_total","28.200000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045872,"e785580f-13d8-4a61-8b99-f9f60e69d017","aux_engines_total","0.300000","mgo","430800d8-e5a6-4ba9-8cc1-c3cef1a7b3f0"
18045873,"e785580f-13d8-4a61-8b99-f9f60e69d017","main_engines_total","28.000000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18130848,"18af4a8f-030d-45eb-b594-d87c4413b5b4","aux_engines_total","3.500000","hfo","66327a31-2b03-4146-819d-099856098c80"
18045890,"65e20a8f-07ac-46d6-a9c0-b72f788abdcd","aux_engines_total","3.300000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045891,"65e20a8f-07ac-46d6-a9c0-b72f788abdcd","main_engines_total","24.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18131065,"cc8ca537-90bd-45ca-a986-459d7c0f0d08","aux_engines_total","0.700000","mgo","6ab2a4bf-6482-4ee5-9d6c-44122e542784"
18131066,"cc8ca537-90bd-45ca-a986-459d7c0f0d08","main_engines_total","1.800000","hfo","66327a31-2b03-4146-819d-099856098c80"
18131067,"cc8ca537-90bd-45ca-a986-459d7c0f0d08","boilers_total","0.100000","mgo","6ab2a4bf-6482-4ee5-9d6c-44122e542784"
18130849,"18af4a8f-030d-45eb-b594-d87c4413b5b4","main_engines_total","34.800000","hfo","66327a31-2b03-4146-819d-099856098c80"
18130850,"18af4a8f-030d-45eb-b594-d87c4413b5b4","boilers_total","0.000000","mgo","6ab2a4bf-6482-4ee5-9d6c-44122e542784"
18045981,"dcfb7644-6ca8-4e7a-a5a4-78e89d1daddf","aux_engines_total","0.845000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
18130999,"b70089ef-9e34-4fe1-8f44-4315ccb0a506","aux_engines_total","7.000000","mgo","6ab2a4bf-6482-4ee5-9d6c-44122e542784"
18131000,"b70089ef-9e34-4fe1-8f44-4315ccb0a506","main_engines_total","0.000000","hfo","66327a31-2b03-4146-819d-099856098c80"
18131001,"b70089ef-9e34-4fe1-8f44-4315ccb0a506","boilers_total","1.800000","mgo","6ab2a4bf-6482-4ee5-9d6c-44122e542784"
18045982,"dcfb7644-6ca8-4e7a-a5a4-78e89d1daddf","aux_engines_total","4.355000","mgo","39dd51c6-5e84-40a6-a504-0e4d7fb82e1b"
18045983,"dcfb7644-6ca8-4e7a-a5a4-78e89d1daddf","boilers_total","2.000000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
17985744,"f1994a55-e801-4381-908c-ef62b56dc5a8","aux_engines_total","8.200000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17985510,"684042a9-26fc-4a05-acac-84f82079ed5e","aux_engines_total","8.400000","lfo","0663420e-bd70-45b2-b2eb-94e22b3c410c"
17985511,"684042a9-26fc-4a05-acac-84f82079ed5e","main_engines_total","34.300000","lfo","0663420e-bd70-45b2-b2eb-94e22b3c410c"
17985745,"f1994a55-e801-4381-908c-ef62b56dc5a8","main_engines_total","34.100000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17648160,"c37f5460-910b-409d-8940-cbb2af2d19c5","aux_engines_total","3.800000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17648161,"c37f5460-910b-409d-8940-cbb2af2d19c5","aux_engines_total","0.100000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17648162,"c37f5460-910b-409d-8940-cbb2af2d19c5","main_engines_total","35.500000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17985451,"ca7722a1-ff5c-44c6-ae12-be5d1aa31044","aux_engines_total","1.200000","mgo","23f7f805-b0f5-413e-aa1f-90546da9ce2e"
17649310,"1a02ae60-23f9-4cc6-a31d-961d053b4942","aux_engines_total","4.000000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17649311,"1a02ae60-23f9-4cc6-a31d-961d053b4942","main_engines_total","16.100000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17649312,"1a02ae60-23f9-4cc6-a31d-961d053b4942","boilers_total","0.400000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17985452,"ca7722a1-ff5c-44c6-ae12-be5d1aa31044","main_engines_total","4.390000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
