"id","reportid","mass","type","lot_id","type_group"
663291552,"bd6d437b-4036-46a0-936d-4784f83687c0","0.000000","mgo","00FC37F1-7535-4003-8EA9-D0885759FC36","mgo01"
663010639,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","00FC37F1-7535-4003-8EA9-D0885759FC36","mgo01"
663010640,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","0663420E-BD70-45B2-B2EB-94E22B3C410C","vlsfo05"
663010641,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","193B8AA6-7265-4241-83C0-A294B4F7E2AC","vlsfo05"
663010642,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","23F7F805-B0F5-413E-AA1F-90546DA9CE2E","mgo01"
663010643,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","30EB96E3-F9C4-44DD-9677-BD5CB9C98989","vlsfo05"
663010644,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","331D3F1E-145E-4ED1-848E-5F115ABD20B8","mgo01"
663010645,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","35AD5FD7-9A47-40FA-B5B2-0D0001F5B6FB","vlsfo05"
663010646,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","49.755000","mgo","39DD51C6-5E84-40A6-A504-0E4D7FB82E1B","mgo01"
663010647,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","3C3C2FA7-E57C-4DD9-B7B0-A326C6D703C3","vlsfo05"
663010648,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","3D5511B8-BBAC-408E-B944-D3D84CB1BAD8","vlsfo05"
663010649,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","3DA09283-C6DE-4B2B-B373-BAE472888882","vlsfo05"
663010650,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","400FCB2B-CD14-4822-963D-AF7D70FA62B2","vlsfo05"
663010651,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","11.485000","mgo","430800D8-E5A6-4BA9-8CC1-C3CEF1A7B3F0","mgo01"
663010652,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","5603A157-CA0A-4816-A9C5-D811EF9B44F5","vlsfo05"
663010653,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","671A75B3-B04A-4F0C-91F1-C9EB0F44CD9C","vlsfo05"
663010654,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","676C3AE6-3197-4FB8-A06E-AE8474CBFC9B","vlsfo05"
663010655,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","166.400000","mgo","6AB2A4BF-6482-4EE5-9D6C-44122E542784","mgo01"
663010656,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","6B7101EA-A440-43F3-8F3F-ACEFFDF367C8","vlsfo05"
663010657,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","6E8C5400-E6CD-4046-BCBE-A4B2A9B4D18A","vlsfo05"
663010658,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","7209D445-519D-4BD0-B7DC-663899DFAF29","vlsfo05"
663010659,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","75E50E9C-5B4F-4AA4-91D3-E609F00C92C2","vlsfo05"
663010660,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","7F9D2ED1-825C-4943-B0F4-3026ED6C6E1D","mgo01"
663010661,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","8187F4E5-9CC7-4370-819E-E248E3218D95","vlsfo05"
663010662,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","62.943000","hfo","85FE2401-400D-48A4-8081-7BEBBD704371","vlsfo05"
663010663,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","86617822-4402-4A35-B2BE-8181C2C5E8E1","vlsfo05"
663010664,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","8D0EF3A6-1018-4378-A925-ED45C502BF4B","vlsfo05"
663010665,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","8E4EE7FC-0C02-4318-B505-A76B82A30BE0","vlsfo05"
663010666,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","lfo","905625BC-3F0F-482D-A9B0-253A2A43606B","vlsfo05"
663010667,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","924AC90D-8B5B-40C0-BCB9-C7A7A03BC7CF","vlsfo05"
663010668,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","930F3E08-623B-4FF4-B298-E0ECFD49ABEB","mgo01"
663010669,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","99778311-0C82-4FA4-B91E-BB536A3B4A8B","mgo01"
663010670,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","1428.557000","lfo","9D73F9B7-A2A4-468C-86B1-A716D4FF2396","vlsfo05"
663010671,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","mgo","A1578B91-DC43-4CBC-9ECC-CE78DE463D98","mgo01"
663010672,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","0.000000","hfo","AB4CD675-85F6-4C28-9001-2ACAB630526C","vlsfo05"
663010673,"2330d463-95de-4c7d-9de8-f6b6fd68d4ac","40.060000","mgo","B4C37B85-971B-477A-B734-6F801B720AF0","mgo01"
